task_name,duration,task_type,task_parameters,start_trigger,end_trigger,word,color,congruency,trial_sign,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,acq_start.thisRepN,acq_start.thisTrialN,acq_start.thisN,acq_start.thisIndex,wait.thisRepN,wait.thisTrialN,wait.thisN,wait.thisIndex,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,math.thisRepN,math.thisTrialN,math.thisN,math.thisIndex,stroop_trials_practice.thisRepN,stroop_trials_practice.thisTrialN,stroop_trials_practice.thisN,stroop_trials_practice.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,math_trials_practice.thisRepN,math_trials_practice.thisTrialN,math_trials_practice.thisN,math_trials_practice.thisIndex,math_trials.thisRepN,math_trials.thisTrialN,math_trials.thisN,math_trials.thisIndex,p_port.started,p_port.stopped,text_11.started,p_port_x_send_6.started,text_11.stopped,p_port_x_send_6.stopped,text_10.started,p_port_x_send_5.started,text_10.stopped,p_port_x_send_5.stopped,key_resp_stroop_prac.keys,key_resp_stroop_prac.corr,key_resp_stroop_prac.rt,key_resp.keys,key_resp.corr,key_resp.rt,corr_ans_math,math_correct,response_rt,textbox_2.text,textbox.text,participant,condition,output folder,date,expName,psychopyVersion,frameRate,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,RED,red,congruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,1,3,12,0,,,,,,,,,,,,,,,,,,,,,,r,1,0.17059189999963564,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,green,congruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,1,4,13,4,,,,,,,,,,,,,,,,,,,,,,r,0,0.17654229999970994,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,GREEN,red,incongruent,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,1,5,14,1,,,,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,,,,,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Stroop English,10,stroop,{'filename': 'stroop-eng-'},132,133,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,addition,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3,1,4.537832999999409,"3
",,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,multiplication,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,64,0,1.8867998999994597,"4
",,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,subtraction,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,2,0,1.0265521999999692,"4
",,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,division,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,0.1,0,0.6863088000000062,"3
",,,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
Math,20,math,"{'filename': 'math-', 'max_value': 40, 'presentation_duration': 2}",134,135,,,,division,0,3,3,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,1.8,0,0.7843434999995225,,"3
",,,Results/,2022-08-24_15h22.54.892,scheduler,2022.2.3,59.96178036149994,
